Name,Image URL,Address,Phone No,Area
AC Marriott,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot-320x320.jpg,1712 Commerce,214-290-0111,Main Street District
Adolphus Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus-320x320.jpg,1321 Commerce St,214-742-8200,Main Street District
Aloft,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft-320x320.jpg,1033 Young Street,214-761-0000,Civic Center
Belmont Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont-320x320.jpg,901 Fort Worth Av,214-393-2300,Trinity Groves
Cambria Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria-320x320.jpg,1907 Elm St,214-220-2900,Main Street District
Canopy by Hilton,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy-320x320.jpg,2950 Cityplace West,214-522-2929,Uptown
Courtyard by Marriott,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot-320x320.jpg,310 S Houston St.,214-238-6589,Main Street District
Crowne Plaza Dallas,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794-320x320.jpeg,1015 Elm Street,877-270-1393,Main Street District
Dallas Marriott Downtown,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg,650 North Pearl St.,214-979-9000,Main Street District
Element by Westin,https://downtowndallas.com/wp-content/uploads/2018/09/Element-320x320.jpg,4005 Gaston,469-399-1049,Old East Dallas
Fairfield Inn,https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn-320x320.jpg,555 S Ervay,----------,Civic Center
Fairmont Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont-320x320.jpg,1717 North Akard Str,214-720-2020,Dallas Arts District
Hall Arts Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts-320x320.png,2323 Ross Ave,214-269-9535,Dallas Arts District,Visit Site
Hampton Inn & Suites Dallas Downtown,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas-320x320.jpg,1700 Commerce Street,214-290-9090,Main Street District
Hilton Garden Inn Downtown Dallas,https://downtowndallas.com/wp-content/uploads/2018/09/HIlton-garden-inn-320x320.jpg,1600 Pacific Ave,214-299-8982,Main Street District
Home 2 Suites by Hilton,https://downtowndallas.com/wp-content/uploads/2018/09/home2-suites-by-hilton-320x311.jpg,3301 Gaston,214-765-2690,Old East Dallas
Homewood Suites,https://downtowndallas.com/wp-content/uploads/2018/09/Homewood-320x320.jpg,1025 Elm Street,214-748-4000,Main Street District
Hotel Indigo,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-indigo-320x320.jpeg,1933 Main Street,214-741-7700,Main Street District
Hotel Saint Germain,https://downtowndallas.com/wp-content/uploads/2018/09/hotel-st-germain-320x320.jpg,2516 Maple Avenue,214-871-2516,Uptown
Hotel ZaZa,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-zaza-320x320.jpg,2332 Leonard Street,214-468-8399,Uptown
Hyatt Regency Dallas,https://downtowndallas.com/wp-content/uploads/2018/09/Hyatt_Regency_Dallas-e1546627838881-320x320.jpg,300 Reunion Blvd,214-651-1234,Reunion District
La Quinta (Hotel Lawrence),https://downtowndallas.com/wp-content/uploads/2018/09/la-quinta-320x320.jpg,302 South Houston Street,214-761-9090,Reunion District
Lorenzo Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/lorenzo-hotel-320x320.jpg,1011 S Akard,214-273-3000,The Cedars
Magnolia Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Magnolia-320x320.jpg,1401 Commerce Street,214-915-6500,Main Street District
Marriott Residence Inn,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Residence-320x320.jpg,1712 Commerce,214-290-0122,Main Street District
Marriott Towne Place,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Towneplace-320x320.jpg,555 Evergreen Street,214-749-5155,Civic Center,Visit Site
Nylo Dallas South Side,https://downtowndallas.com/wp-content/uploads/2018/09/Nylo-320x320.jpg,1325 South Lamar,214-421-1080,The Cedars
Omni Dallas Convention Center Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Omni-e1546627812676-320x320.jpg,555 South Lamar Stre,214-744-6664,Civic Center
The Pittman Hotel,https://downtowndallas.com/wp-content/uploads/2018/11/Dallas_Credit-Justin-Terveen_2-e1546905975138-320x320.jpg,2551 Elm St.,469.498.2500,Deep Ellum,Visit Site
Ritz Carlton,https://downtowndallas.com/wp-content/uploads/2018/09/ritz-carlton-320x320.jpg,2121 McKinney Avenue,214-922-0200,Uptown
